Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
1279101;;9468;30/11/2022 20:07:03;30/11/2022 21:42:44;;169;169;0;16,9;2;LOCA;63801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;90;RISOTINHO DE FUNGHI;1;58;58;;30/11/2022 20:07:03;SERVIDOR;2;MARCOS;1279101;F
;2;RISOTINHO DE CAMARÃO;1;56;56;;30/11/2022 20:07:03;SERVIDOR;2;MARCOS;1279101;F
;444;COSMOPOLITAN;1;26;26;;30/11/2022 20:07:03;SERVIDOR;2;MARCOS;1279101;F
;177;MOSCOW MULE;1;29;29;;30/11/2022 20:07:03;SERVIDOR;2;MARCOS;1279101;F
1279001;;9467;30/11/2022 19:06:21;30/11/2022 20:53:46;;167;167;0;16,7;4;LOCA;63801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 19:06:21;SERVIDOR;4;MARCOS;1279001;F
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 19:06:21;SERVIDOR;4;MARCOS;1279001;F
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 19:06:21;SERVIDOR;4;MARCOS;1279001;F
;449;CAIPIRINHA TANGERINA PIME;1;22;22;;30/11/2022 19:06:21;SERVIDOR;4;MARCOS;1279001;F
;449;CAIPIRINHA TANGERINA PIME;1;22;22;;30/11/2022 19:06:21;SERVIDOR;4;MARCOS;1279001;F
;577;PIRULITO QUEIJO HP;1;14;14;;30/11/2022 19:29:18;SERVIDOR;4;MARCOS;1279001;F
;577;PIRULITO QUEIJO HP;1;14;14;;30/11/2022 19:36:24;SERVIDOR;4;HENRIQUE;1279001;F
;449;CAIPIRINHA TANGERINA PIME;1;22;22;;30/11/2022 19:44:00;SERVIDOR;4;MARCOS;1279001;F
;577;PIRULITO QUEIJO HP;1;14;14;;30/11/2022 19:51:12;SERVIDOR;4;MARCOS;1279001;F
;577;PIRULITO QUEIJO HP;1;14;14;;30/11/2022 19:51:12;SERVIDOR;4;MARCOS;1279001;F
1278901;;9466;30/11/2022 17:35:45;30/11/2022 18:49:08;;72,5;72,5;0;7,25;5;LOCA;63801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;556;CAIPIROSCA HP;1;18;18;;30/11/2022 17:35:45;SERVIDOR;5;MARCOS;1278901;F
;461;PIRULITO BARRIGA HP;1;15;15;;30/11/2022 17:38:46;SERVIDOR;5;MARCOS;1278901;F
;553;PASTEIS CARNE HP;1;15;15;;30/11/2022 17:38:46;SERVIDOR;5;MARCOS;1278901;F
;408;PRAYA PURO MALTE 600  ML;1;22;22;;30/11/2022 17:39:14;SERVIDOR;5;MARCOS;1278901;F
;230;MOLHO EXTRA AIOLE;1;2,5;2,5;;30/11/2022 17:57:07;SERVIDOR;5;EMERSON;1278901;F
1278801;;9465;30/11/2022 17:08:12;30/11/2022 18:47:37;;156;156;0;15,6;6;LOCA;63801;MARCOS;CAIXA;;;;;;;1;;;;;3301;
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 17:08:12;SERVIDOR;6;MARCOS;1278801;F
;573;DRINK COPA;1;29;29;;30/11/2022 17:08:12;SERVIDOR;6;MARCOS;1278801;F
;547;CAMARÕES FRITOS COM PÁPRI;1;56;56;;30/11/2022 17:44:16;SERVIDOR;6;MARCOS;1278801;F
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 17:46:04;SERVIDOR;6;MARCOS;1278801;F
;462;PIRULITO FRANGO HP;1;15;15;;30/11/2022 17:46:04;SERVIDOR;6;MARCOS;1278801;F
;576;MARGARITA DE MORANGO;1;26;26;;30/11/2022 17:46:04;SERVIDOR;6;MARCOS;1278801;F
1278701;;9464;30/11/2022 17:27:13;30/11/2022 17:32:54;;39;39;0;0;25;LOCA;63801;HENRIQUE;CAIXA;;;;;;;1;;;;;3201;
;405;CRISPY CHICKEN BURGUER;1;36;36;;30/11/2022 17:27:13;SERVIDOR;25;HENRIQUE;1278701;F
;263;EMBALAGEM G;1;3;3;;30/11/2022 17:30:40;SERVIDOR;25;MARCOS;1278701;F
1278601;;9463;29/11/2022 21:39:11;29/11/2022 23:54:02;;70;70;0;10,5;124;LOCA;63701;MARCIO;CAIXA;;;;;;;1;;;;;1;
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 21:39:11;SERVIDOR;124;ELVIS;1278601;F
;111;AGUA SEM GAS;1;7;7;;29/11/2022 22:00:20;SERVIDOR;124;MARCOS;1278601;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 22:00:20;SERVIDOR;124;MARCOS;1278601;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 22:03:11;SERVIDOR;124;MARCOS;1278601;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 22:47:25;SERVIDOR;124;HENRIQUE;1278601;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 23:22:40;SERVIDOR;124;MARCOS;1278601;F
1278501;;9462;29/11/2022 23:48:44;29/11/2022 23:49:12;;8;8;0;0;2;LOCA;63701;REYNALDO;CAIXA;;;;;;;1;;;;;1501;
;281;COCA COLA KS 290ML;1;8;8;;29/11/2022 23:48:53;SERVIDOR;2;REYNALDO;1278501;F
1278401;;9461;29/11/2022 21:40:45;29/11/2022 23:48:20;;205;205;0;20,5;2;LOCA;63701;ELVIS;CAIXA;;;;;;;1;;;;;3401;
;67;GUACAMOLE & NACHOS;1;39;39;;29/11/2022 21:40:45;SERVIDOR;2;ELVIS;1278401;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;29/11/2022 21:40:45;SERVIDOR;2;ELVIS;1278401;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;29/11/2022 22:36:52;SERVIDOR;2;ELVIS;1278401;F
;90;RISOTINHO DE FUNGHI;1;58;58;;29/11/2022 22:48:10;SERVIDOR;2;ELVIS;1278401;F
;2;RISOTINHO DE CAMARÃO;1;56;56;;29/11/2022 22:48:10;SERVIDOR;2;ELVIS;1278401;F
1278301;;9460;29/11/2022 22:54:30;29/11/2022 23:33:45;;40;40;0;4;5;LOCA;63701;ELVIS;CAIXA;;;;;;;1;;;;;3401;
;453;SOL LN;1;10;10;;29/11/2022 22:54:30;SERVIDOR;5;ELVIS;1278301;F
;453;SOL LN;1;10;10;;29/11/2022 22:54:30;SERVIDOR;5;ELVIS;1278301;F
;453;SOL LN;1;10;10;;29/11/2022 22:54:30;SERVIDOR;5;ELVIS;1278301;F
;453;SOL LN;1;10;10;;29/11/2022 23:09:11;SERVIDOR;5;ELVIS;1278301;F
1278201;;9459;29/11/2022 22:31:38;29/11/2022 23:33:12;;122;122;0;12,2;4;LOCA;63701;ELVIS;CAIXA;;;;;;;1;;;;;3401;
;111;AGUA SEM GAS;1;7;7;;29/11/2022 22:31:38;SERVIDOR;4;ELVIS;1278201;F
;31;NHOQUE FUNGHI;1;59;59;;29/11/2022 22:31:38;SERVIDOR;4;ELVIS;1278201;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 22:31:38;SERVIDOR;4;ELVIS;1278201;F
;172;NEGRONI;1;32;32;;29/11/2022 22:33:59;SERVIDOR;4;ELVIS;1278201;F
;420;HEINEKEN LONG NECK;1;12;12;;29/11/2022 22:51:30;SERVIDOR;4;ELVIS;1278201;F
1278101;;9458;29/11/2022 20:43:33;29/11/2022 23:15:28;;209;209;0;17,9;21;LOCA;63701;HENRIQUE;CAIXA;;;;;;;1;;;;;3201;
;1790;CAIPIROSCA FRUTA ;1;24;24;;29/11/2022 20:43:33;SERVIDOR;21;HENRIQUE;1278101;F
;10;COPO SUCO;1;12;12;;29/11/2022 20:43:33;SERVIDOR;21;HENRIQUE;1278101;F
;438;TABUA DE FRUTOS DO MAR;1;119;119;;29/11/2022 20:47:33;SERVIDOR;21;HENRIQUE;1278101;F
;1790;CAIPIROSCA FRUTA ;1;24;24;;29/11/2022 21:33:16;SERVIDOR;21;HENRIQUE;1278101;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 23:00:55;SERVIDOR;21;MARCOS;1278101;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 23:00:55;SERVIDOR;21;MARCOS;1278101;F
1278001;;9457;29/11/2022 20:28:04;29/11/2022 22:45:19;;183;183;0;17;29;LOCA;63701;HENRIQUE;CAIXA;;;;;;;1;;;;;3201;
;449;CAIPIRINHA TANGERINA PIME;1;22;22;;29/11/2022 20:28:04;SERVIDOR;29;HENRIQUE;1278001;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;29/11/2022 20:28:04;SERVIDOR;29;HENRIQUE;1278001;F
;81;CEVICHE CLASSICO;1;42;42;;29/11/2022 20:32:59;SERVIDOR;29;HENRIQUE;1278001;F
;111;AGUA SEM GAS;1;7;7;;29/11/2022 20:55:46;SERVIDOR;29;HENRIQUE;1278001;F
;449;CAIPIRINHA TANGERINA PIME;1;22;22;;29/11/2022 21:18:52;SERVIDOR;29;HENRIQUE;1278001;F
;147;ARANCCINI CARANGUEJO;1;34;34;;29/11/2022 21:28:11;SERVIDOR;29;HENRIQUE;1278001;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 22:32:18;SERVIDOR;29;HENRIQUE;1278001;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 22:32:18;SERVIDOR;29;HENRIQUE;1278001;F
1277901;;9456;29/11/2022 20:54:20;29/11/2022 22:43:55;;206;206;0;17,6;10;LOCA;63701;ELVIS;CAIXA;;;;;;;1;;;;;3401;
;111;AGUA SEM GAS;1;7;7;;29/11/2022 20:54:20;SERVIDOR;10;ELVIS;1277901;F
;574;JULIA FLORISTA ;1;120;120;;29/11/2022 20:57:57;SERVIDOR;10;ELVIS;1277901;F
;81;CEVICHE CLASSICO;1;42;42;;29/11/2022 21:04:59;SERVIDOR;10;ELVIS;1277901;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 22:02:48;SERVIDOR;10;ELVIS;1277901;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 22:02:48;SERVIDOR;10;ELVIS;1277901;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 22:25:32;SERVIDOR;10;ELVIS;1277901;F
1277801;;9455;29/11/2022 19:42:41;29/11/2022 22:40:57;;1133;1133;0;1,4;23;LOCA;63701;EXTRA1;CAIXA;;;;;;;1;;;;;701;
;336;COCA COLA LT NORMAL;1;8;8;;29/11/2022 19:42:41;SERVIDOR;23;EXTRA1;1277801;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 19:42:41;SERVIDOR;23;EXTRA1;1277801;F
;84;BOLINHO ACOSTELADO;1;36;36;;29/11/2022 19:51:03;SERVIDOR;23;ELVIS;1277801;F
;569;LOCA CITRUS;1;32;32;;29/11/2022 19:51:03;SERVIDOR;23;ELVIS;1277801;F
;98;COCA COLA LT ZERO;1;8;8;;29/11/2022 19:51:03;SERVIDOR;23;ELVIS;1277801;F
;422;PORÇÃO FOCACCIA;1;19;19;;29/11/2022 19:54:55;SERVIDOR;23;ELVIS;1277801;F
;442;TABUA MIELO;1;62;62;;29/11/2022 19:54:55;SERVIDOR;23;ELVIS;1277801;F
;107;APEROL SPRITZ;1;26;26;;29/11/2022 19:54:55;SERVIDOR;23;ELVIS;1277801;F
;271;PASTEIS CARNE;1;22;22;;29/11/2022 19:57:33;SERVIDOR;23;MARCOS;1277801;F
;111;AGUA SEM GAS;1;7;7;;29/11/2022 20:11:00;SERVIDOR;23;MARCOS;1277801;F
;548;4 ESTAÇÕES MALBEC 2019;1;119;119;;29/11/2022 20:14:55;SERVIDOR;23;MARCOS;1277801;F
;188;PASTEIS QUEIJO REINO;1;22;22;;29/11/2022 20:16:30;SERVIDOR;23;MARCOS;1277801;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 20:42:47;SERVIDOR;23;MARCOS;1277801;F
;526;AGUA COM GÁS ;1;7;7;;29/11/2022 20:43:04;SERVIDOR;23;MARCOS;1277801;F
;98;COCA COLA LT ZERO;1;8;8;;29/11/2022 20:43:04;SERVIDOR;23;MARCOS;1277801;F
;98;COCA COLA LT ZERO;1;8;8;;29/11/2022 20:50:52;SERVIDOR;23;MARCOS;1277801;F
;31;NHOQUE FUNGHI;1;59;59;;29/11/2022 21:06:20;SERVIDOR;23;MARCOS;1277801;F
;19;NHOQUE CAMARAO;1;59;59;;29/11/2022 21:06:20;SERVIDOR;23;MARCOS;1277801;F
;19;NHOQUE CAMARAO;1;59;59;;29/11/2022 21:08:20;SERVIDOR;23;MARCOS;1277801;F
