Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente; Valor Venda ; Valor Recebido ; Vr. Desconto ; Tx Serviço ;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
1780901;;14445;06/05/2023 23:36;07/05/2023 01:03;; R$ 444,00 ; R$ 444,00 ; R$ -   ; R$ 44,40 ;35;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1780801;;14444;06/05/2023 23:03;07/05/2023 00:39;; R$ 181,00 ; R$ 181,00 ; R$ -   ; R$ 15,10 ;32;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1780701;;14443;06/05/2023 22:51;07/05/2023 00:30;; R$ 163,00 ; R$ 163,00 ; R$ -   ; R$ -   ;6;LOCA;77901;EXTRA1;CAIXA;;;;;;;1;;;;;701;
1780601;;14442;06/05/2023 23:40;07/05/2023 00:26;; R$ 140,00 ; R$ 140,00 ; R$ -   ; R$ 14,00 ;24;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1780501;;14441;06/05/2023 23:24;07/05/2023 00:26;; R$ 97,00 ; R$ 97,00 ; R$ -   ; R$ 6,70 ;23;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1780401;;14440;06/05/2023 20:20;07/05/2023 00:13;; R$ 71,00 ; R$ 71,00 ; R$ -   ; R$ 5,60 ;231;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1780301;;14439;06/05/2023 19:54;07/05/2023 00:12;; R$ 750,40 ; R$ 750,40 ; R$ -   ; R$ 65,39 ;33;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1780201;;14438;06/05/2023 22:38;06/05/2023 23:54;; R$ 205,50 ; R$ 205,50 ; R$ -   ; R$ 20,50 ;5;LOCA;77901;EXTRA1;CAIXA;;;;;;;1;;;;;701;
1780101;;14437;06/05/2023 21:36;06/05/2023 23:53;; R$ 207,00 ; R$ 207,00 ; R$ -   ; R$ 19,40 ;7;LOCA;77901;EMERSON;CAIXA;;;;;;;1;;;;;501;
1780001;;14436;06/05/2023 22:00;06/05/2023 23:52;; R$ 226,00 ; R$ 226,00 ; R$ -   ; R$ 22,60 ;8;LOCA;77901;EMERSON;CAIXA;;;;;;;1;;;;;501;
1779901;;14435;06/05/2023 12:06;06/05/2023 23:47;; R$ 14,00 ; R$ 14,00 ; R$ -   ; R$ -   ;1;LOCA;77901;ADILSON;CAIXA;;;;;;;1;;;;;3101;
1779801;;14434;06/05/2023 20:43;06/05/2023 23:46;; R$ 416,00 ; R$ 416,00 ; R$ -   ; R$ 35,60 ;26;LOCA;77901;ADILSON 2;CAIXA;;;;;;;1;;;;;3501;
1779701;;14433;06/05/2023 17:19;06/05/2023 23:41;; R$ 1.278,00 ; R$ 1.278,00 ; R$ -   ; R$ 109,80 ;34;LOCA;77901;ADILSON;CAIXA;;;;;;;1;;;;;3101;
1779601;;14432;06/05/2023 21:09;06/05/2023 23:37;; R$ 514,00 ; R$ 514,00 ; R$ -   ; R$ 42,40 ;27;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1779501;;14431;06/05/2023 22:54;06/05/2023 23:22;; R$ 28,00 ; R$ 28,00 ; R$ -   ; R$ 2,80 ;35;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1779401;;14430;06/05/2023 20:22;06/05/2023 23:22;; R$ 113,00 ; R$ 113,00 ; R$ -   ; R$ 9,80 ;233;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1779301;;14429;06/05/2023 20:22;06/05/2023 23:22;; R$ 40,00 ; R$ 40,00 ; R$ -   ; R$ 2,50 ;236;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1779201;;14428;06/05/2023 20:21;06/05/2023 23:21;; R$ 66,00 ; R$ 66,00 ; R$ -   ; R$ 5,10 ;234;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1779101;;14427;06/05/2023 20:21;06/05/2023 23:21;; R$ 147,00 ; R$ 147,00 ; R$ -   ; R$ 13,20 ;232;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1779001;;14426;06/05/2023 20:39;06/05/2023 23:21;; R$ 120,00 ; R$ 120,00 ; R$ -   ; R$ 10,50 ;241;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1778901;;14425;06/05/2023 20:39;06/05/2023 23:20;; R$ 81,00 ; R$ 81,00 ; R$ -   ; R$ 6,60 ;242;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1778801;;14424;06/05/2023 22:26;06/05/2023 23:20;; R$ 129,00 ; R$ 129,00 ; R$ -   ; R$ 12,90 ;10;LOCA;77901;EXTRA2;CAIXA;;;;;;;1;;;;;801;
1778701;;14423;06/05/2023 20:54;06/05/2023 23:19;; R$ 43,00 ; R$ 43,00 ; R$ -   ; R$ 2,80 ;245;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1778601;;14422;06/05/2023 20:53;06/05/2023 23:15;; R$ 167,00 ; R$ 167,00 ; R$ -   ; R$ 13,00 ;246;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1778501;;14421;06/05/2023 20:40;06/05/2023 23:14;; R$ 85,00 ; R$ 85,00 ; R$ -   ; R$ -   ;244;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1778401;;14420;06/05/2023 21:29;06/05/2023 23:14;; R$ 43,00 ; R$ 43,00 ; R$ -   ; R$ 4,30 ;135;LOCA;77901;EMERSON;CAIXA;;;;;;;1;;;;;501;
1778301;;14419;06/05/2023 17:24;06/05/2023 23:14;; R$ 473,00 ; R$ 473,00 ; R$ -   ; R$ 43,30 ;2;LOCA;77901;EMERSON;CAIXA;;;;;;;1;;;;;501;
1778201;;14418;06/05/2023 20:29;06/05/2023 23:13;; R$ 50,00 ; R$ 50,00 ; R$ -   ; R$ 3,50 ;238;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1778101;;14417;06/05/2023 20:24;06/05/2023 23:13;; R$ 132,00 ; R$ 132,00 ; R$ -   ; R$ 11,70 ;235;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1778001;;14416;06/05/2023 21:00;06/05/2023 23:03;; R$ 129,00 ; R$ 129,00 ; R$ -   ; R$ 9,90 ;30;LOCA;77901;DAVID;CAIXA;;;;;;;1;;;;;3801;
1777901;;14415;06/05/2023 22:14;06/05/2023 23:02;; R$ 56,00 ; R$ 56,00 ; R$ -   ; R$ 5,60 ;102;LOCA;77901;EXTRA1;CAIXA;;;;;;;1;;;;;701;
1777801;;14414;06/05/2023 20:38;06/05/2023 23:00;; R$ 109,00 ; R$ 109,00 ; R$ -   ; R$ 9,40 ;240;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
1777701;;14413;06/05/2023 20:28;06/05/2023 22:46;; R$ 126,00 ; R$ 126,00 ; R$ -   ; R$ 12,60 ;239;LOCA;77901;ERICK;CAIXA;;;;;;;1;;;;;4101;
