216 - PORTA LONG NECK LO 2,00 56,00
218 - CAMISETA LOCA 2,00 159,00
1790 - CAIPIROSCA FRUTA 659,00 15.814,75
221 - HEINEKEN ZERO 163,00 1.956,00
229 - COUVERT LOCA JAMPA 2.219,0 41.070,41
227 - CHAKA MERLOT 5,00 595,00
289 - MOLHO EXTRA VERMEL 41,00 61,38
230 - MOLHO EXTRA AIOLE 91,00 227,40
671 - CHOPP DO REI 1.845,0 22.112,98
232 - JARRA CHOPP 141,00 5.493,80
233 - CAIPIRINHA MIEL-O 1,00 19,00
236 - EMPANADA COMBO 3,00 66,00
238 - EMPANADA 2,00 24,00
239 - CANECA CHOPP IPA 1.248,0 18.814,55
241 - JARRA IPA 113,00 5.142,14
246 - SANGRIA LOCA SUMME 121,00 3.145,80
262 - EMBALAGEM M 25,00 50,00
263 - EMBALAGEM G 26,00 78,00
266 - DADINHOS DE TAPIOC 1,00 20,00
280 - DRINK PITAIA GIN 25,00 758,00
359 - ESTRELLA GALICIA L 26,00 286,00
420 - HEINEKEN LONG NECK 6.204,0 79.201,00
426 - DRINK MELANCITA 124,00 3.665,69
427 - TROPICAL GIN 118,00 3.395,87
428 - MEIA SETE 6,00 168,00
444 - COSMOPOLITAN 171,00 4.443,29
445 - DRY MARTINI 22,00 616,00
446 - MIMOSA 81,00 1.943,40
447 - WHISKEY AND COLD B 8,00 256,00
448 - LIMONCELLO SPRITZ 71,00 1.987,66
449 - CAIPIRINHA TANGERI 327,00 7.448,02
451 - BEE'S KNESS 15,00 480,00
452 - APEROL MARGARITA 9,00 306,00
453 - SOL LN 1.497,0 16.107,88
455 - TÁBUA PORCO LOCO 130,00 11.440,00
456 - CAIPIRINHA ESPECIA 74,00 1.554,00
459 - BALDE SOL 64,00 2.647,43
494 - COZUMEL 2,00 24,00
503 - HEINEKEN LN EV 3,00 36,00
540 - CAIPIROSCA F VERME 31,00 682,00
559 - CANECA CHOPP LAGER 202,00 2.828,00
560 - JARRA VB SOUR 4,00 180,00
561 - VB SEVERINA LAGER 13,00 325,00
562 - VB ARRETADA APA 14,00 392,00
563 - VB FORROZEIRO CREA 10,00 250,00
564 - VB HONEY BEER 9,00 252,00
569 - LOCA CITRUS 305,00 9.759,89
576 - MARGARITA DE MORAN 68,00 1.768,00
578 - VB SOUR 5,00 140,00
588 - MORANGO SUNSET 61,00 1.584,42
591 - LOCA CITRUS HP 9,00 225,00
599 - COUVERT artistico 1.928,0 28.916,06
602 - AMSTEL 600 55,00 1.024,30
612 - BALDE SOL 102,00 4.528,00
614 - COMBO GIM + TO 1,00 199,00
620 - BARRIL CHOPP 1,00 1.300,00
623 - STELLA ARTOIS SEM 47,00 564,00
636 - CHAC CHAC 5,00 450,00
2 - RISOTINHO DE CAMARÃO 139,00 7.783,74
631 - TILAPIA EXECUTIVO 11,00 548,90
3 - TAÇA VINHO LOCA SUMM 12,00 215,96
469 - HAPPY WINE 3,00 297,00
8 - JARRA CLERICOT 134,00 8.710,00
10 - COPO SUCO 272,00 3.262,67
11 - RISOTINHO DE ALHO P 13,00 676,00
17 - NHOQUE 20,00 922,86

18 - LOCA BURGUER 457,00 17.323,20
19 - NHOQUE CAMARAO 16,00 754,86
21 - CALDO DO DIA 69,00 1.255,00
598 - CALDO DO DIA HP 128,00 1.920,00
23 - BROWNIE DE CHOCOLAT 41,00 778,91
404 - CHURROS DOCE DE LE 91,00 2.093,00
633 - CHURROS EXECUTIVO 6,00 0,06
27 - ESTRELLA GALICIA 30,00 360,00
28 - DOSE GIN 37,00 592,00
409 - QUE BELEZA TINTO 27,00 2.268,91
410 - QUE BELEZA BRANCO 6,00 504,00
411 - MOCO FIDALGO TINTO 4,00 410,23
412 - MOCO FIDALGO BRANC 10,00 1.020,00
413 - CASTELO DE PIAS TI 5,00 445,00
414 - CASTELO DE PIAS BR 16,00 1.472,00
415 - NORTON MALBEC DOC 2,00 324,00
416 - PINOT GRIGIO 3,00 387,00
417 - TANNAT TOSCANINI 5,00 602,00
418 - MAR SALGADO ROSE 2 11,00 1.136,33
486 - 4 ESTAÇÕES ROSE 20 1,00 105,00
488 - FESTIVO MALBEC 3,00 403,00
491 - MOCO FIDALGO ROSE 3,00 311,44
529 - CEPAS MALBEC 2,00 218,00
537 - CEPAS CHARDONNAY 15,00 1.495,00
541 - LA VID TINTO 4,00 356,00
543 - 4 ESTAÇÕES VIOGNIE 4,00 420,00
544 - MARAY CABERNET 6,00 870,00
545 - RIBERA CABERNET SA 5,00 655,00
546 - RIBERA SAUVIGNON B 2,00 238,00
548 - 4 ESTAÇÕES MALBEC 3,00 315,00
549 - 1913 SPARKLING BRU 6,00 669,00
550 - 1913 SPARKLING ROS 7,00 788,00
574 - SOLDADO 9,00 869,30
601 - SONANTE DÃO PORT 5,00 640,00
603 - SOL FA SOUL MOSCAT 1,00 138,00
609 - HASSO TINTO 1,00 163,00
615 - WAVE ESPUMANTE BRU 2,00 139,80
630 - LOVE 1/2 GARRAFA 4,00 412,32
618 - CORAÇÃO OBRA PRIMA 2,00 198,00
619 - CARVA RAMIRES BRUT 1,00 199,00
621 - ALMA JOVEM BRANCO 1,00 115,00
622 - CIAO BELLA CHARDPM 3,00 357,00
625 - SECRETO ROSSO 3,00 297,00
627 - QUINTA DA ESPERANÇ 1,00 148,00
628 - SABICOS BRANCO ALE 1,00 163,00
31 - NHOQUE FUNGHI 5,00 229,00
34 - DOSE APEROL 3,00 36,00
35 - ESPERANÇA HOPE 4,00 456,00
36 - CANECA LOCA 5,00 200,00
37 - CLERICOT TAÇA 5,00 95,00
38 - DOSE WHISKY 12 ANOS 54,00 1.341,46
629 - GARRAFA WHISKY 12 1,00 450,00
41 - PORÇAO NACHOS 40,00 640,00
422 - PORÇÃO FOCACCIA 97,00 1.843,00
45 - CEVICHE BANANA 29,00 986,00
436 - BRUSCHETA 132,00 3.680,14
437 - BRIE AO FORNO COM 63,00 3.465,00
438 - TABUA DE FRUTOS DO 56,00 6.573,18
439 - TABUA VEGETARIANA 35,00 2.380,00
442 - TABUA MIELO 34,00 2.108,00
48 - CAIPIROSCA 458,00 8.232,66
556 - CAIPIROSCA HP 118,00 2.122,11
49 - FILOCO BRANCO 4,00 516,00
534 - DOC CHANTEL 1,00 99,00
535 - TIERRUCA 2,00 159,80
